word,severity
traitor,severe
traitorous,severe
tramp,severe
tran,severe
trannies,severe
trans,severe
transgender,severe
transgenders,severe
transvestite,severe
trappers,severe
trash,severe
trash-talk,severe
trashtalk,severe
treacherous,severe
treasonous,severe
trickster,severe
tripe,severe
trol,severe
troll,severe
trolls,severe
trump-as-useful-idiot,severe
trump-humpers,severe
trump-suckers,severe
trumpasusefulidiot,severe
trumpean,severe
trumphumpers,severe
trumpkin,severe
trumplers,severe
trumplodites,severe
trumpster,severe
trumpster's,severe
trumpsters,severe
trumpsuckers,severe
tupid,severe
turd,severe
tw4t,severe
twaddle,severe
twat,severe
twathead,severe
twatlips,severe
twats,severe
twatty,severe
twatwaffle,severe
twerps,severe
twit,severe
two-faces,severe
twofaced,severe
twunt,severe
twunter,severe
tyrant,severe
uck,severe
ugly,severe
un-deserving,severe
un-educatedoops,severe
un-smart,severe
unapologetic,severe
unappealing,severe
uncaring,severe
unclefucker,severe
undependable,severe
underhand,severe
undeserving,severe
uneducated,severe
unethical,severe
unfaithful,severe
ungrateful,severe
uninformed,severe
